 Unincorporated - Littlerock/Juniper Hills, 112, 8635, 1, 77
 Unincorporated - Littlerock/Pearblossom, 518, 14514, 9, 252
 Unincorporated - Llano, 37, 4219, 1, 114
 Unincorporated - Marina del Rey, 360, 3825, 3, 32
 Unincorporated - Miracle Mile, 0, 0, 0, 0
 Unincorporated - Monrovia, 364, 9379, 1, 26
 Unincorporated - Newhall, 66, 30000, 1, 455
 Unincorporated - North Lancaster, 148, 12354, 2, 167
 Unincorporated - North Whittier, 1095, 13098, 28, 335
 Unincorporated - Northeast San Gabriel, 1590, 6615, 41, 171
 Unincorporated - Padua Hills, 9, 4186, 0, 0
 Unincorporated - Palmdale, 109, 12945, 4, 475
 Unincorporated - Palos Verdes Peninsula, 22, 3543, 0, 0
 Unincorporated - Pearblossom/Llano, 115, 5879, 1, 51
 Unincorporated - Pellissier Village, 162, 26171, 1, 162
 Unincorporated - Placerita Canyon, 1, 217, 0, 0
 Unincorporated - Pomona, 62, 3199, 1, 52
 Unincorporated - Quartz Hill, 1155, 8949, 20, 155
 Unincorporated - Rancho Dominguez, 373, 14017, 5, 188
 Unincorporated - Roosevelt, 85, 9130, 0, 0
 Unincorporated - Rosewood, 151, 11742, 3, 233
 Unincorporated - Rosewood/East Gardena, 153, 12825, 5, 419
 Unincorporated - Rosewood/West Rancho Dominguez, 490, 14579, 12, 357
 Unincorporated - Rowland Heights, 3570, 6997, 68, 133
 Unincorporated - San Clemente Island, 0, 0, 0, 0
 Unincorporated - San Francisquito Canyon/Bouquet Canyon, 15, 1748, 0, 0
 Unincorporated - San Jose Hills, 3432, 16972, 67, 331
 Unincorporated - San Pasqual, 38, 1867, 0, 0
 Unincorporated - Sand Canyon, 17, 5519, 0, 0
 Unincorporated - Santa Catalina Island, 164, 61423, 2, 749
 Unincorporated - Santa Monica Mountains*, 607, 3260, 7, 38
 Unincorporated - Saugus, 132, 85161, 0, 0
 Unincorporated - Saugus/Canyon Country, 39, 10955, 1, 281
 Unincorporated - South Antelope Valley, 27, 5934, 0, 0
 Unincorporated - South El Monte, 345, 19220, 4, 223
 Unincorporated - South San Gabriel, 930, 10511, 44, 497
 Unincorporated - South Whittier, 8234, 13904, 143, 241
 Unincorporated - Southeast Antelope Valley, 75, 9603, 0, 0
 Unincorporated - Stevenson Ranch, 1095, 5223, 4, 19
 Unincorporated - Sun Village, 922, 15275, 9, 149
 Unincorporated - Sunrise Village, 190, 14660, 1, 77
 Unincorporated - Twin Lakes/Oat Mountain, 88, 5308, 2, 121
 Unincorporated - Val Verde, 325, 9822, 1, 30
 Unincorporated - Valencia, 185, 6022, 2, 65
 Unincorporated - Valinda, 3674, 15720, 65, 278
 Unincorporated - View Park/Windsor Hills, 662, 5690, 13, 112
 Unincorporated - Walnut Park, 3037, 18813, 51, 316
 Unincorporated - West Antelope Valley, 51, 3375, 1, 66
 Unincorporated - West Carson, 2100, 9508, 116, 525
 Unincorporated - West Chatsworth, 2, 16667, 0, 0
 Unincorporated - West LA, 220, 23109, 15, 1576
 Unincorporated - West Puente Valley, 1684, 17123, 22, 224
 Unincorporated - West Rancho Dominguez, 190, 13981, 5, 368
 Unincorporated - West Whittier/Los Nietos, 4148, 15406, 80, 297
 Unincorporated - Westfield/Academy Hills, 41, 3154, 0, 0
 Unincorporated - Westhills, 42, 5006, 0, 0
 Unincorporated - White Fence Farms, 263, 7141, 2, 54
 Unincorporated - Whittier, 306, 8087, 9, 238
 Unincorporated - Whittier Narrows, 13, 108333, 1, 8333
 Unincorporated - Willowbrook, 5907, 16919, 87, 249
 Unincorporated - Wiseburn, 498, 8263, 11, 183

